size	colour	x	xend	y	yend	key	showSelected2	showSelected4	PANEL
1.5	#000000	0.5	1.5	9.10308545337502	9.10308545337502	1 1	20	LOPART	1
1.5	#000000	1.5	2.5	10.1848491846467	10.1848491846467	2 2	20	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	20	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	20	LOPART	1
1.5	#000000	4.5	6.5	10.0260842639151	10.0260842639151	5 6	20	LOPART	1
1.5	#000000	6.5	7.5	10.7079547292717	10.7079547292717	7 7	20	LOPART	1
1.5	#000000	7.5	8.5	9.76030197582816	9.76030197582816	8 8	20	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	20	LOPART	1
1.5	#000000	9.5	10.5	9.86121298788034	9.86121298788034	10 10	20	LOPART	1
1.5	#000000	10.5	11.5	10.4176507507926	10.4176507507926	11 11	20	LOPART	1
1.5	#000000	11.5	12.5	10.9817527774637	10.9817527774637	12 12	20	LOPART	1
1.5	#000000	12.5	13.5	9.6073046444962	9.6073046444962	13 13	20	LOPART	1
1.5	#000000	13.5	14.5	8.96033102305108	8.96033102305108	14 14	20	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	20	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	20	LOPART	1
1.5	#000000	16.5	17.5	10.8786045809213	10.8786045809213	17 17	20	LOPART	1
1.5	#000000	17.5	18.5	10.0358067180152	10.0358067180152	18 18	20	LOPART	1
1.5	#000000	18.5	19.5	11.0128286921271	11.0128286921271	19 19	20	LOPART	1
1.5	#000000	19.5	20.5	10.4322651545396	10.4322651545396	20 20	20	LOPART	1
1.5	#000000	20.5	30.5	8.79509337315598	8.79509337315598	21 30	20	LOPART	1
1.5	#000000	0.5	1.5	9.10308545337502	9.10308545337502	1 1	21	LOPART	1
1.5	#000000	1.5	2.5	10.1848491846467	10.1848491846467	2 2	21	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	21	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	21	LOPART	1
1.5	#000000	4.5	6.5	10.0260842639151	10.0260842639151	5 6	21	LOPART	1
1.5	#000000	6.5	7.5	10.7079547292717	10.7079547292717	7 7	21	LOPART	1
1.5	#000000	7.5	8.5	9.76030197582816	9.76030197582816	8 8	21	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	21	LOPART	1
1.5	#000000	9.5	10.5	9.86121298788034	9.86121298788034	10 10	21	LOPART	1
1.5	#000000	10.5	11.5	10.4176507507926	10.4176507507926	11 11	21	LOPART	1
1.5	#000000	11.5	12.5	10.9817527774637	10.9817527774637	12 12	21	LOPART	1
1.5	#000000	12.5	13.5	9.6073046444962	9.6073046444962	13 13	21	LOPART	1
1.5	#000000	13.5	14.5	8.96033102305108	8.96033102305108	14 14	21	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	21	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	21	LOPART	1
1.5	#000000	16.5	17.5	10.8786045809213	10.8786045809213	17 17	21	LOPART	1
1.5	#000000	17.5	18.5	10.0358067180152	10.0358067180152	18 18	21	LOPART	1
1.5	#000000	18.5	21.5	11.1786376839719	11.1786376839719	19 21	21	LOPART	1
1.5	#000000	21.5	30.5	8.42890161403452	8.42890161403452	22 30	21	LOPART	1
1.5	#000000	0.5	1.5	9.10308545337502	9.10308545337502	1 1	22	LOPART	1
1.5	#000000	1.5	2.5	10.1848491846467	10.1848491846467	2 2	22	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	22	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	22	LOPART	1
1.5	#000000	4.5	6.5	10.0260842639151	10.0260842639151	5 6	22	LOPART	1
1.5	#000000	6.5	7.5	10.7079547292717	10.7079547292717	7 7	22	LOPART	1
1.5	#000000	7.5	8.5	9.76030197582816	9.76030197582816	8 8	22	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	22	LOPART	1
1.5	#000000	9.5	10.5	9.86121298788034	9.86121298788034	10 10	22	LOPART	1
1.5	#000000	10.5	11.5	10.4176507507926	10.4176507507926	11 11	22	LOPART	1
1.5	#000000	11.5	12.5	10.9817527774637	10.9817527774637	12 12	22	LOPART	1
1.5	#000000	12.5	13.5	9.6073046444962	9.6073046444962	13 13	22	LOPART	1
1.5	#000000	13.5	14.5	8.96033102305108	8.96033102305108	14 14	22	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	22	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	22	LOPART	1
1.5	#000000	16.5	17.5	10.8786045809213	10.8786045809213	17 17	22	LOPART	1
1.5	#000000	17.5	18.5	10.0358067180152	10.0358067180152	18 18	22	LOPART	1
1.5	#000000	18.5	19.5	11.0128286921271	11.0128286921271	19 19	22	LOPART	1
1.5	#000000	19.5	22.5	10.441052846715	10.441052846715	20 22	22	LOPART	1
1.5	#000000	22.5	30.5	8.38250504324432	8.38250504324432	23 30	22	LOPART	1
1.5	#000000	0.5	1.5	9.10308545337502	9.10308545337502	1 1	23	LOPART	1
1.5	#000000	1.5	2.5	10.1848491846467	10.1848491846467	2 2	23	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	23	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	23	LOPART	1
1.5	#000000	4.5	6.5	10.0260842639151	10.0260842639151	5 6	23	LOPART	1
1.5	#000000	6.5	7.5	10.7079547292717	10.7079547292717	7 7	23	LOPART	1
1.5	#000000	7.5	8.5	9.76030197582816	9.76030197582816	8 8	23	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	23	LOPART	1
1.5	#000000	9.5	10.5	9.86121298788034	9.86121298788034	10 10	23	LOPART	1
1.5	#000000	10.5	11.5	10.4176507507926	10.4176507507926	11 11	23	LOPART	1
1.5	#000000	11.5	12.5	10.9817527774637	10.9817527774637	12 12	23	LOPART	1
1.5	#000000	12.5	13.5	9.6073046444962	9.6073046444962	13 13	23	LOPART	1
1.5	#000000	13.5	14.5	8.96033102305108	8.96033102305108	14 14	23	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	23	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	23	LOPART	1
1.5	#000000	16.5	17.5	10.8786045809213	10.8786045809213	17 17	23	LOPART	1
1.5	#000000	17.5	18.5	10.0358067180152	10.0358067180152	18 18	23	LOPART	1
1.5	#000000	18.5	23.5	10.7851250865124	10.7851250865124	19 23	23	LOPART	1
1.5	#000000	23.5	30.5	7.92434316366636	7.92434316366636	24 30	23	LOPART	1
1.5	#000000	0.5	1.5	9.10308545337502	9.10308545337502	1 1	24	LOPART	1
1.5	#000000	1.5	2.5	10.1848491846467	10.1848491846467	2 2	24	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	24	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	24	LOPART	1
1.5	#000000	4.5	6.5	10.0260842639151	10.0260842639151	5 6	24	LOPART	1
1.5	#000000	6.5	7.5	10.7079547292717	10.7079547292717	7 7	24	LOPART	1
1.5	#000000	7.5	8.5	9.76030197582816	9.76030197582816	8 8	24	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	24	LOPART	1
