x	y	key	showSelected2	showSelected3	showSelected4	PANEL
1	0	1 0	1	0	OPART	1
2	0	2 0	2	0	OPART	1
2	1	2 1	2	1	OPART	1
3	0	3 0	3	0	OPART	1
3	1	3 1	3	1	OPART	1
3	2	3 2	3	2	OPART	1
4	0	4 0	4	0	OPART	1
4	1	4 1	4	1	OPART	1
4	2	4 2	4	2	OPART	1
4	3	4 3	4	3	OPART	1
5	0	5 0	5	0	OPART	1
5	1	5 1	5	1	OPART	1
5	2	5 2	5	2	OPART	1
5	3	5 3	5	3	OPART	1
5	4	5 4	5	4	OPART	1
6	0	6 0	6	0	OPART	1
6	1	6 1	6	1	OPART	1
6	2	6 2	6	2	OPART	1
6	3	6 3	6	3	OPART	1
6	4	6 4	6	4	OPART	1
6	5	6 5	6	5	OPART	1
7	0	7 0	7	0	OPART	1
7	1	7 1	7	1	OPART	1
7	2	7 2	7	2	OPART	1
7	3	7 3	7	3	OPART	1
7	4	7 4	7	4	OPART	1
7	5	7 5	7	5	OPART	1
7	6	7 6	7	6	OPART	1
8	0	8 0	8	0	OPART	1
8	1	8 1	8	1	OPART	1
8	2	8 2	8	2	OPART	1
8	3	8 3	8	3	OPART	1
8	4	8 4	8	4	OPART	1
8	5	8 5	8	5	OPART	1
8	6	8 6	8	6	OPART	1
8	7	8 7	8	7	OPART	1
9	0	9 0	9	0	OPART	1
9	1	9 1	9	1	OPART	1
9	2	9 2	9	2	OPART	1
9	3	9 3	9	3	OPART	1
9	4	9 4	9	4	OPART	1
9	5	9 5	9	5	OPART	1
9	6	9 6	9	6	OPART	1
9	7	9 7	9	7	OPART	1
9	8	9 8	9	8	OPART	1
10	0	10 0	10	0	OPART	1
10	1	10 1	10	1	OPART	1
10	2	10 2	10	2	OPART	1
10	3	10 3	10	3	OPART	1
10	4	10 4	10	4	OPART	1
10	5	10 5	10	5	OPART	1
10	6	10 6	10	6	OPART	1
10	7	10 7	10	7	OPART	1
10	8	10 8	10	8	OPART	1
10	9	10 9	10	9	OPART	1
11	0	11 0	11	0	OPART	1
11	1	11 1	11	1	OPART	1
11	2	11 2	11	2	OPART	1
11	3	11 3	11	3	OPART	1
11	4	11 4	11	4	OPART	1
11	5	11 5	11	5	OPART	1
11	6	11 6	11	6	OPART	1
11	7	11 7	11	7	OPART	1
11	8	11 8	11	8	OPART	1
11	9	11 9	11	9	OPART	1
11	10	11 10	11	10	OPART	1
12	0	12 0	12	0	OPART	1
12	1	12 1	12	1	OPART	1
12	2	12 2	12	2	OPART	1
12	3	12 3	12	3	OPART	1
12	4	12 4	12	4	OPART	1
12	5	12 5	12	5	OPART	1
12	6	12 6	12	6	OPART	1
12	7	12 7	12	7	OPART	1
12	8	12 8	12	8	OPART	1
12	9	12 9	12	9	OPART	1
12	10	12 10	12	10	OPART	1
12	11	12 11	12	11	OPART	1
13	0	13 0	13	0	OPART	1
13	1	13 1	13	1	OPART	1
13	2	13 2	13	2	OPART	1
13	3	13 3	13	3	OPART	1
13	4	13 4	13	4	OPART	1
13	5	13 5	13	5	OPART	1
13	6	13 6	13	6	OPART	1
13	7	13 7	13	7	OPART	1
13	8	13 8	13	8	OPART	1
13	9	13 9	13	9	OPART	1
13	10	13 10	13	10	OPART	1
13	11	13 11	13	11	OPART	1
13	12	13 12	13	12	OPART	1
14	0	14 0	14	0	OPART	1
14	1	14 1	14	1	OPART	1
14	2	14 2	14	2	OPART	1
14	3	14 3	14	3	OPART	1
14	4	14 4	14	4	OPART	1
14	5	14 5	14	5	OPART	1
14	6	14 6	14	6	OPART	1
14	7	14 7	14	7	OPART	1
14	8	14 8	14	8	OPART	1
14	9	14 9	14	9	OPART	1
14	10	14 10	14	10	OPART	1
14	11	14 11	14	11	OPART	1
14	12	14 12	14	12	OPART	1
14	13	14 13	14	13	OPART	1
15	0	15 0	15	0	OPART	1
15	1	15 1	15	1	OPART	1
15	2	15 2	15	2	OPART	1
15	3	15 3	15	3	OPART	1
15	4	15 4	15	4	OPART	1
15	5	15 5	15	5	OPART	1
15	6	15 6	15	6	OPART	1
15	7	15 7	15	7	OPART	1
15	8	15 8	15	8	OPART	1
15	9	15 9	15	9	OPART	1
15	10	15 10	15	10	OPART	1
15	11	15 11	15	11	OPART	1
15	12	15 12	15	12	OPART	1
15	13	15 13	15	13	OPART	1
15	14	15 14	15	14	OPART	1
16	0	16 0	16	0	OPART	1
16	1	16 1	16	1	OPART	1
16	2	16 2	16	2	OPART	1
16	3	16 3	16	3	OPART	1
16	4	16 4	16	4	OPART	1
16	5	16 5	16	5	OPART	1
16	6	16 6	16	6	OPART	1
16	7	16 7	16	7	OPART	1
16	8	16 8	16	8	OPART	1
16	9	16 9	16	9	OPART	1
16	10	16 10	16	10	OPART	1
16	11	16 11	16	11	OPART	1
16	12	16 12	16	12	OPART	1
16	13	16 13	16	13	OPART	1
16	14	16 14	16	14	OPART	1
16	15	16 15	16	15	OPART	1
