colour	x	y	key	showSelected1	showSelected2	showSelected3	PANEL	fill
#00BFFF	0.5	0	1	0.01	1	OPART	2	#00BFFF
#00BFFF	1.5	0	1	0.01	2	OPART	2	#00BFFF
#00BFFF	2.5	0	1	0.01	3	OPART	2	#00BFFF
#00BFFF	3.5	0	1	0.01	4	OPART	2	#00BFFF
#00BFFF	4.5	0	1	0.01	5	OPART	2	#00BFFF
#00BFFF	5.5	0	1	0.01	6	OPART	2	#00BFFF
#00BFFF	6.5	0	1	0.01	7	OPART	2	#00BFFF
#00BFFF	7.5	0	1	0.01	8	OPART	2	#00BFFF
#00BFFF	8.5	0	1	0.01	9	OPART	2	#00BFFF
#00BFFF	9.5	0	1	0.01	10	OPART	2	#00BFFF
#00BFFF	10.5	0	1	0.01	11	OPART	2	#00BFFF
#00BFFF	11.5	0	1	0.01	12	OPART	2	#00BFFF
#00BFFF	12.5	0	1	0.01	13	OPART	2	#00BFFF
#00BFFF	13.5	0	1	0.01	14	OPART	2	#00BFFF
#00BFFF	14.5	0	1	0.01	15	OPART	2	#00BFFF
#00BFFF	15.5	0	1	0.01	16	OPART	2	#00BFFF
#00BFFF	16.5	0	1	0.01	17	OPART	2	#00BFFF
#00BFFF	17.5	0	1	0.01	18	OPART	2	#00BFFF
#00BFFF	18.5	0	1	0.01	19	OPART	2	#00BFFF
#00BFFF	19.5	0	1	0.01	20	OPART	2	#00BFFF
#00BFFF	20.5	0	1	0.01	21	OPART	2	#00BFFF
#00BFFF	21.5	0	1	0.01	22	OPART	2	#00BFFF
#00BFFF	22.5	0	1	0.01	23	OPART	2	#00BFFF
#00BFFF	23.5	0	1	0.01	24	OPART	2	#00BFFF
#00BFFF	24.5	0	1	0.01	25	OPART	2	#00BFFF
#00BFFF	25.5	0	1	0.01	26	OPART	2	#00BFFF
#00BFFF	26.5	0	1	0.01	27	OPART	2	#00BFFF
#00BFFF	27.5	0	1	0.01	28	OPART	2	#00BFFF
#00BFFF	28.5	0	1	0.01	29	OPART	2	#00BFFF
